
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode: 153/1000 | Episode reward:   757.84 | Episode steps: 1001 | Average reward:   757.09 | Step Count: 153153 | Episode Q0:    11.95
Episode: 154/1000 | Episode reward:   756.62 | Episode steps: 1001 | Average reward:   756.99 | Step Count: 154154 | Episode Q0:    12.26
Episode: 155/1000 | Episode reward:   757.04 | Episode steps: 1001 | Average reward:   757.05 | Step Count: 155155 | Episode Q0:    12.27
Episode: 156/1000 | Episode reward:   756.74 | Episode steps: 1001 | Average reward:   757.08 | Step Count: 156156 | Episode Q0:    12.73
Episode: 157/1000 | Episode reward:   756.91 | Episode steps: 1001 | Average reward:   757.03 | Step Count: 157157 | Episode Q0:    13.18
Episode: 158/1000 | Episode reward:   756.52 | Episode steps: 1001 | Average reward:   756.76 | Step Count: 158158 | Episode Q0:    13.28
Episode: 159/1000 | Episode reward:   757.02 | Episode steps: 1001 | Average reward:   756.84 | Step Count: 159159 | Episode Q0:    13.71
Episode: 160/1000 | Episode reward:   756.52 | Episode steps: 1001 | Average reward:   756.74 | Step Count: 160160 | Episode Q0:    13.91
Episode: 161/1000 | Episode reward:   757.83 | Episode steps: 1001 | Average reward:   756.96 | Step Count: 161161 | Episode Q0:    14.26
Episode: 162/1000 | Episode reward:   756.52 | Episode steps: 1001 | Average reward:   756.88 | Step Count: 162162 | Episode Q0:    14.32
Episode: 163/1000 | Episode reward:   756.13 | Episode steps: 1001 | Average reward:   756.80 | Step Count: 163163 | Episode Q0:    14.58
Episode: 164/1000 | Episode reward:   756.32 | Episode steps: 1001 | Average reward:   756.66 | Step Count: 164164 | Episode Q0:    14.96
Episode: 165/1000 | Episode reward:   756.38 | Episode steps: 1001 | Average reward:   756.64 | Step Count: 165165 | Episode Q0:    15.36
Episode: 166/1000 | Episode reward:   755.88 | Episode steps: 1001 | Average reward:   756.24 | Step Count: 166166 | Episode Q0:    15.56
Episode: 167/1000 | Episode reward:   756.77 | Episode steps: 1001 | Average reward:   756.29 | Step Count: 167167 | Episode Q0:    15.71
Episode: 168/1000 | Episode reward:   756.66 | Episode steps: 1001 | Average reward:   756.40 | Step Count: 168168 | Episode Q0:    16.13
Episode: 169/1000 | Episode reward:   757.22 | Episode steps: 1001 | Average reward:   756.58 | Step Count: 169169 | Episode Q0:    16.13
Episode: 170/1000 | Episode reward:   756.94 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 170170 | Episode Q0:    16.48
Episode: 171/1000 | Episode reward:   756.53 | Episode steps: 1001 | Average reward:   756.83 | Step Count: 171171 | Episode Q0:    16.55
