
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward: -1429.21 | Episode steps: 1001 | Average reward: -1429.21 | Step Count: 1001 | Episode Q0:    -0.95
Episode: 152/1000 | Episode reward:   -12.40 | Episode steps: 1001 | Average reward:   -22.00 | Step Count: 152152 | Episode Q0:    -3.19
Episode: 153/1000 | Episode reward:   -12.27 | Episode steps: 1001 | Average reward:   -21.29 | Step Count: 153153 | Episode Q0:    -3.21
Episode: 154/1000 | Episode reward:   -13.06 | Episode steps: 1001 | Average reward:   -20.92 | Step Count: 154154 | Episode Q0:    -3.23
Episode: 155/1000 | Episode reward:   -13.82 | Episode steps: 1001 | Average reward:   -20.47 | Step Count: 155155 | Episode Q0:    -3.20
Episode: 156/1000 | Episode reward:   -14.37 | Episode steps: 1001 | Average reward:   -13.18 | Step Count: 156156 | Episode Q0:    -3.21
Episode: 157/1000 | Episode reward:   -14.14 | Episode steps: 1001 | Average reward:   -13.53 | Step Count: 157157 | Episode Q0:    -3.21
Episode: 158/1000 | Episode reward:   -13.46 | Episode steps: 1001 | Average reward:   -13.77 | Step Count: 158158 | Episode Q0:    -3.21
Episode: 159/1000 | Episode reward:   -13.81 | Episode steps: 1001 | Average reward:   -13.92 | Step Count: 159159 | Episode Q0:    -3.23
Episode: 160/1000 | Episode reward:   -13.93 | Episode steps: 1001 | Average reward:   -13.94 | Step Count: 160160 | Episode Q0:    -3.22
Episode: 161/1000 | Episode reward:   -13.26 | Episode steps: 1001 | Average reward:   -13.72 | Step Count: 161161 | Episode Q0:    -3.24
